HOUSEHOLD_ID,MEMBER_ID,LINE_NUMBER,A01_LAST_NAME,A01_FIRST_NAME,A01_SUFFIX,A01_MIDDLE_NAME,A02_RELATION_TO_HH_HEAD,A05_SEX,A07_AGE,A09_MARITAL_STATUS,A17_SOLO_PARENT,A18_SOLO_PARENT_ID,A19_SENIOR_CITIZEN_ID,A20_A_SEEING,A20_B_HEARING,A20_C_WALKING,A20_D_REMEMBERING,A20_E_SELF_CARING,A20_F_COMMUNICATING,B06_OFI,C01_SIMPLE_LITERACY,C02_HGC_LEVEL,C03_CURRENTLY_ATTENDING_SCHOOL,C05_CURRENT_GRADE_LEVEL,C06_REASON_NOT_ATTENDING_SCHOOL,C07_TVET_GRADUATE,C08_TVET_CURRENTLY_ATTENDING,E01_WORK_PAST_WEEK,E03_JOB_OR_BUSINESS_PAST_WEEK,E11_NATURE_OF_EMPLOYMENT,E12_NUMBER_OF_HOURS_WORKED,E13_NUMBER_OF_DAYS_WORKED,E14_TOTAL_NUMBER_OF_HOURS_WORKED,E15_WANT_MORE_HOURS,E16_LOOKING_FOR_ADDITIONAL_WORK,E18_CLASS_OF_WORKER,E19_BASIS_OF_PAYMENT,E24_REASON_MORE_OR_LESS_HOURS,E25_TRY_LOOK_FOR_WORK_OR_DO_BUSINESS,E29_REASON_NOT_LOOKING_FOR_WORK,E31_AVAILABLE_FOR_WORK,E32_WILLING_TO_WORK,E39_OWNERSHIP_OF_AGRI_LAND,E40_LAND_USED_IN_AGRI_ACTIVITY
HH000095,HH000095-M05,05,Fernandez,Ella,,Soriano,04,2,4,1,,,,,,,,,,,,,1,00001000,,,,,,,,,,,,,,,,,,,,
HH000095,HH000095-M06,06,Fernandez,Nicole,,Soriano,04,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000095,HH000095-M07,07,Fernandez,Angelo,,Reyes,03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000095,HH000095-M08,08,Fernandez,Nicole,,Torres,12,2,68,5,2,,2,1,1,1,1,1,1,7,1,0,,,,2,2,2,1,1,9,0,0,2,2,3,,13,,,,,1,1
HH000096,HH000096-M01,01,Salazar,Kristine,,Castillo,01,2,26,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,5,5,23,2,2,3,,20,,,,,1,1
HH000096,HH000096-M02,02,Salazar,Carlo,,Lopez,02,1,21,2,2,,,1,1,1,1,1,2,7,1,6,2,,07,2,2,1,,1,8,7,58,2,2,1,3,12,,,,,2,
HH000097,HH000097-M01,01,Pascual,Kristine,,Rivera,01,2,26,2,2,,,1,2,1,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,2,04,2,2,2,
HH000097,HH000097-M02,02,Pascual,Jose,,Flores,02,1,29,2,2,,,1,1,1,1,1,1,7,1,4,,,,2,2,1,,2,12,7,85,1,1,1,3,11,,,,,2,
HH000097,HH000097-M03,03,Pascual,Joy,,Fernandez,04,2,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000097,HH000097-M04,04,Pascual,Michelle,,Cruz,04,2,3,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000097,HH000097-M05,05,Pascual,Luis,Jr.,Garcia,03,1,3,1,,,,,,,,,,,,,1,00001000,,,,,,,,,,,,,,,,,,,,
HH000097,HH000097-M06,06,Pascual,Kristine,,Bautista,04,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000097,HH000097-M07,07,Pascual,Juan,,Garcia,11,1,61,2,2,,1,1,1,1,2,2,1,7,1,3,,,,2,2,1,,2,12,7,85,2,2,3,,11,,,,,1,1
HH000098,HH000098-M01,01,Bautista,Jerome,Jr.,Garcia,01,1,28,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,2,8,4,31,1,1,1,4,28,,,,,2,
HH000098,HH000098-M02,02,Bautista,Nicole,,Flores,02,2,28,2,2,,,1,1,1,1,2,2,7,1,6,,,,2,2,1,,1,6,6,37,1,1,3,,25,,,,,2,
HH000098,HH000098-M03,03,Bautista,Sophia,,Aguilar,04,2,8,1,,,,3,1,1,1,1,1,,1,1,2,,06,,,2,2,,,,,,,,,,,,,,,
HH000098,HH000098-M04,04,Bautista,Nicole,,Lopez,04,2,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000099,HH000099-M01,01,Reyes,John,,Reyes,01,1,51,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,6,6,37,1,2,1,4,23,,,,,1,1
HH000099,HH000099-M02,02,Reyes,Ella,,Diaz,02,2,55,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,2,8,5,40,2,2,3,,,,,,,1,1
HH000099,HH000099-M03,03,Reyes,Karen,,Rivera,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000099,HH000099-M04,04,Reyes,Gabriel,,Diaz,15,1,40,3,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,2,2,,,,,,,,,,2,04,1,2,1,1
HH000100,HH000100-M01,01,Pascual,Grace,,Ramos,01,2,34,4,1,1,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,1,8,5,39,2,2,3,,29,,,,,2,
HH000100,HH000100-M02,02,Pascual,Luis,,Rivera,03,1,15,1,2,,,1,1,1,1,1,1,7,1,2,2,,04,2,2,2,3,,,,,,,,,,2,09,,,2,
HH000100,HH000100-M03,03,Pascual,Angela,,Torres,04,2,12,1,2,,,1,1,1,1,1,1,,1,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000100,HH000100-M04,04,Pascual,Jose,,Soriano,03,1,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000100,HH000100-M05,05,Pascual,Carlo,Jr.,Reyes,03,1,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000101,HH000101-M01,01,Santos,Liza,,Domingo,01,2,49,5,1,1,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,2,7,6,42,2,2,6,,,,,,,2,
HH000101,HH000101-M02,02,Santos,Nicole,,Flores,04,2,20,1,2,,,1,1,1,3,1,1,7,1,6,1,00034012,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000101,HH000101-M03,03,Santos,Rafael,,Cruz,03,1,8,1,,,,1,1,1,1,1,1,,1,1,1,00010013,,,,2,2,,,,,,,,,,,,,,,
HH000102,HH000102-M01,01,Castro,Grace,,Ramos,01,2,61,2,2,,1,1,1,2,1,1,1,7,1,2,,,,2,2,1,,2,8,5,39,2,2,1,7,30,,,,,2,
HH000102,HH000102-M02,02,Castro,Jose,,Soriano,02,1,56,2,2,,,1,1,1,1,1,2,7,1,3,,,,2,2,1,,1,9,5,47,2,2,4,,,,,,,2,
HH000103,HH000103-M01,01,Garcia,Jerome,,Mendoza,01,1,35,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,2,2,,,,,,,,,,2,04,1,2,2,
HH000103,HH000103-M02,02,Garcia,Angela,,Torres,02,2,36,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,12,5,60,2,2,0,3,11,,,,,2,
HH000103,HH000103-M03,03,Garcia,Kristine,,Navarro,04,2,13,1,2,,,1,1,1,1,1,1,,2,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000104,HH000104-M01,01,Castro,Nicole,,Lopez,01,2,56,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,1,3,4,0,0,2,2,3,,30,,,,,2,
HH000104,HH000104-M02,02,Castro,Rafael,,Reyes,02,1,50,2,2,,,1,1,1,1,1,2,7,1,1,,,,2,2,1,,2,8,5,38,2,2,5,4,24,,,,,2,
HH000104,HH000104-M03,03,Castro,Vincent,,Soriano,03,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000105,HH000105-M01,01,Bautista,Leah,,Santos,01,2,34,2,2,,,1,1,1,1,1,1,7,1,3,,,,1,2,2,2,,,,,,,,,,2,05,2,1,2,
HH000105,HH000105-M02,02,Bautista,Paolo,,Aquino,02,1,30,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,2,2,,,,,,,,,,2,10,,,2,
HH000106,HH000106-M01,01,Garcia,Sophia,,Torres,01,2,41,2,2,,,1,1,1,1,1,1,7,1,5,,,,2,2,1,,1,10,5,51,2,2,3,,13,,,,,1,1
HH000106,HH000106-M02,02,Garcia,Mark,,Aguilar,02,1,46,2,2,,,1,1,1,1,1,1,7,1,4,,,,2,2,2,3,,,,,,,,,,2,99,,,2,
HH000106,HH000106-M03,03,Garcia,Angela,,Flores,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000107,HH000107-M01,01,Navarro,Christian,III,Navarro,01,1,51,2,2,,,3,1,1,1,1,1,7,1,6,,,,2,2,1,,1,8,5,40,2,2,5,4,,,,,,2,
HH000107,HH000107-M02,02,Navarro,Maria,,Bautista,02,2,47,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,3,8,6,48,2,2,3,,,,,,,2,
HH000107,HH000107-M03,03,Navarro,Joy,,Torres,04,2,12,1,2,,,1,1,1,1,1,1,,1,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000108,HH000108-M01,01,Manalo,Karen,,Ramos,01,2,45,5,1,1,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,8,5,39,1,2,3,,30,,,,,2,
HH000108,HH000108-M02,02,Manalo,Grace,,Flores,04,2,14,1,2,,,1,1,1,1,1,1,,1,2,1,00024012,,,,2,2,,,,,,,,,,,,,,,
HH000108,HH000108-M03,03,Manalo,John,,Soriano,03,1,6,1,,,,1,1,1,1,1,1,,2,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000109,HH000109-M01,01,Domingo,Jerome,,Fernandez,01,1,43,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,2,04,2,1,2,
HH000109,HH000109-M02,02,Domingo,Angela,,Aquino,02,2,39,2,2,,,1,1,1,1,1,1,7,1,5,,,,1,2,2,2,,,,,,,,,,2,10,,,2,
HH000110,HH000110-M01,01,Pascual,Carlo,,Bautista,01,1,45,2,2,,,1,1,3,1,1,1,7,1,6,,,,2,2,2,2,,,,,,,,,,2,04,2,2,2,
HH000110,HH000110-M02,02,Pascual,Rose,,Aquino,02,2,45,2,2,,,3,1,1,1,1,1,7,1,1,,,,2,2,2,2,,,,,,,,,,2,10,,,2,
HH000110,HH000110-M03,03,Pascual,Joshua,Jr.,Torres,03,1,18,1,2,,,2,1,1,1,1,1,7,1,3,2,,15,2,1,1,,2,8,7,58,2,2,1,3,14,,,,,2,
HH000110,HH000110-M04,04,Pascual,Catherine,,Mendoza,12,2,78,4,2,,2,1,1,2,1,3,1,7,1,1,,,,2,2,2,2,,,,,,,,,,2,07,,,2,
HH000110,HH000110-M05,05,Pascual,Rose,,Rivera,16,2,43,4,2,,,1,1,1,1,1,2,7,1,5,,,,2,2,1,,2,8,7,55,2,2,1,4,13,,,,,2,
HH000111,HH000111-M01,01,Mendoza,Paolo,,Garcia,01,1,76,2,2,,2,1,2,2,1,1,2,7,1,1,,,,2,2,2,3,,,,,,,,,,2,07,,,2,
HH000112,HH000112-M01,01,Fernandez,Patricia,,Santos,01,2,42,2,2,,,1,1,1,1,1,1,7,1,1,,,,1,2,2,2,,,,,,,,,,2,10,,,2,
HH000112,HH000112-M02,02,Fernandez,Miguel,,Santos,02,1,47,2,2,,,1,1,1,1,1,1,4,1,2,,,,2,2,1,,1,8,5,41,1,1,6,,,,,,,2,
HH000112,HH000112-M03,03,Fernandez,Angela,,Rivera,04,2,20,3,2,,,1,1,1,2,1,1,7,1,4,2,,10,2,2,1,,1,6,6,37,1,2,1,4,28,,,,,2,
HH000112,HH000112-M04,04,Fernandez,Karen,,Diaz,04,2,10,1,2,,,1,1,1,1,3,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000112,HH000112-M05,05,Fernandez,Luis,,Soriano,03,1,7,1,,,,1,1,1,2,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000112,HH000112-M06,06,Fernandez,Rose,,Diaz,04,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000113,HH000113-M01,01,Pascual,Rafael,,Aquino,01,1,58,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000113,HH000113-M02,02,Pascual,Jasmine,,Aquino,02,2,57,2,2,,,3,1,1,1,1,1,7,1,1,,,,2,2,1,,2,5,6,32,1,2,1,3,22,,,,,2,
HH000113,HH000113-M03,03,Pascual,Rose,,Ramos,04,2,22,6,2,,,1,1,1,1,1,1,7,1,4,2,,08,2,2,1,,2,8,6,46,2,2,5,3,,,,,,2,
HH000113,HH000113-M04,04,Pascual,Joy,,Ramos,04,2,21,1,2,,,1,1,1,4,1,2,7,1,6,2,,10,2,2,1,,1,7,6,41,2,2,4,,,,,,,2,
HH000113,HH000113-M05,05,Pascual,Juan,,Cruz,03,1,15,1,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,1,1,2,2,,,,,,,,,,2,06,,,2,
HH000113,HH000113-M06,06,Pascual,Karen,,Ramos,04,2,13,2,2,,,1,1,1,1,1,1,,1,2,1,00024013,,,,2,2,,,,,,,,,,,,,,,
HH000113,HH000113-M07,07,Pascual,Michelle,,Santos,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000114,HH000114-M01,01,Mendoza,John,Jr.,Ramos,01,1,49,2,2,,,1,3,1,1,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,2,04,1,2,2,
HH000114,HH000114-M02,02,Mendoza,Rose,,Soriano,02,2,43,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,12,7,84,2,2,3,,12,,,,,1,2
HH000114,HH000114-M03,03,Mendoza,Camille,,Santos,04,2,22,2,2,,,1,1,1,1,1,1,7,1,6,2,,09,1,2,1,,3,9,7,65,2,2,1,4,11,,,,,1,1
HH000114,HH000114-M04,04,Mendoza,Christian,Jr.,Santos,03,1,21,1,2,,,1,1,1,1,1,1,7,1,4,1,00034012,,2,2,2,2,,,,,,,,,,2,10,,,2,
HH000114,HH000114-M05,05,Mendoza,Kristine,,Aguilar,04,2,9,1,,,,1,1,1,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000115,HH000115-M01,01,Navarro,Joy,,Reyes,01,2,48,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,8,7,56,2,2,3,,13,,,,,2,
HH000115,HH000115-M02,02,Navarro,Mark,,Flores,02,1,51,2,2,,,1,1,1,1,1,1,7,1,7,,,,2,2,1,,1,9,6,52,2,2,1,6,12,,,,,2,
HH000115,HH000115-M03,03,Navarro,Mark,,Navarro,03,1,22,3,2,,,1,1,1,1,1,1,7,1,6,1,00034012,,2,2,2,2,,,,,,,,,,1,,1,1,1,1
HH000115,HH000115-M04,04,Navarro,Rommel,,Garcia,03,1,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000115,HH000115-M05,05,Navarro,Michelle,,Lopez,12,2,88,4,2,,1,1,1,1,3,1,1,7,1,2,,,,2,2,1,,2,8,7,56,2,2,4,,11,,,,,2,
HH000115,HH000115-M06,06,Navarro,Maria,,Torres,12,2,87,5,2,,8,1,3,1,1,1,1,7,1,1,,,,2,2,1,,3,8,6,48,2,2,1,4,,,,,,2,
HH000115,HH000115-M07,07,Navarro,Jerome,,Rivera,15,1,52,2,2,,,1,1,1,1,1,2,7,1,4,,,,2,2,1,,1,8,5,39,1,2,1,1,20,,,,,2,
HH000116,HH000116-M01,01,Fernandez,Joshua,,Domingo,01,1,41,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,2,7,3,21,1,2,1,7,31,,,,,1,1
HH000116,HH000116-M02,02,Fernandez,Ella,,Mendoza,02,2,36,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,9,5,45,2,2,6,,,,,,,2,
HH000116,HH000116-M03,03,Fernandez,Rafael,,Cruz,03,1,22,3,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,1,,1,9,6,56,2,2,2,4,13,,,,,2,
HH000117,HH000117-M01,01,Dela Cruz,Kristine,,Castillo,01,2,35,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,9,5,44,2,2,2,4,,,,,,2,
HH000117,HH000117-M02,02,Dela Cruz,Luis,,Flores,02,1,37,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,12,2,23,1,1,1,2,24,,,,,2,
HH000117,HH000117-M03,03,Dela Cruz,Karen,,Garcia,04,2,8,1,,,,1,1,1,1,1,1,,1,1,1,00010013,,,,2,2,,,,,,,,,,,,,,,
HH000117,HH000117-M04,04,Dela Cruz,Nicole,,Navarro,04,2,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000118,HH000118-M01,01,Abad,Leah,,Reyes,01,2,35,2,2,,,1,1,1,1,1,1,7,1,6,,,,1,2,1,,1,12,5,60,2,2,3,,11,,,,,2,
HH000118,HH000118-M02,02,Abad,John,,Lopez,02,1,30,2,2,,,1,1,1,1,2,1,7,1,4,,,,2,2,1,,1,9,6,54,2,2,3,,11,,,,,2,
HH000118,HH000118-M03,03,Abad,Mae,,Lopez,04,2,13,1,2,,,1,1,1,1,1,1,,1,2,1,00024012,,,,2,2,,,,,,,,,,,,,,,
HH000118,HH000118-M04,04,Abad,Catherine,,Castillo,04,2,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000118,HH000118-M05,05,Abad,Nicole,,Aquino,04,2,6,1,,,,1,1,1,1,1,1,,1,0,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000118,HH000118-M06,06,Abad,Jasmine,,Aquino,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000119,HH000119-M01,01,Manalo,Karen,,Valdez,01,2,44,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000119,HH000119-M02,02,Manalo,Hanson,,Navarro,02,1,47,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,1,,1,8,6,47,2,2,1,4,,,,,,2,
HH000119,HH000119-M03,03,Manalo,Vincent,,Castillo,03,1,7,1,,,,1,1,1,1,1,1,,1,1,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000119,HH000119-M04,04,Manalo,Rommel,,Castillo,03,1,5,1,,,,1,1,1,1,1,1,,1,0,1,00002000,,,,2,2,,,,,,,,,,,,,,,
HH000120,HH000120-M01,01,Reyes,Hanson,,Torres,01,1,51,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,2,8,5,40,2,2,6,,,,,,,2,
HH000120,HH000120-M02,02,Reyes,Camille,,Santos,02,2,46,2,2,,,1,1,1,2,1,1,7,1,6,,,,2,2,1,,1,8,5,42,1,2,3,,,,,,,2,
HH000120,HH000120-M03,03,Reyes,Ella,,Bautista,04,2,18,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,1,,2,7,3,21,2,2,3,,21,,,,,2,
HH000120,HH000120-M04,04,Reyes,Ella,,Reyes,04,2,15,1,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,2,2,2,2,,,,,,,,,,2,09,,,2,
HH000120,HH000120-M05,05,Reyes,Christian,Jr.,Bautista,03,1,6,1,,,,1,1,1,1,1,1,,1,0,2,,17,,,2,2,,,,,,,,,,,,,,,
HH000121,HH000121-M01,01,Valdez,Kristine,,Diaz,01,2,39,2,2,,,1,4,1,1,1,1,7,1,3,,,,1,2,1,,1,12,5,62,2,2,1,1,12,,,,,1,1
HH000121,HH000121-M02,02,Valdez,Vincent,,Rivera,02,1,44,2,2,,,1,1,1,2,1,1,7,1,1,,,,2,2,2,2,,,,,,,,,,2,04,1,1,1,1
HH000121,HH000121-M03,03,Valdez,Karen,,Garcia,04,2,16,1,2,,,1,1,1,1,1,1,7,2,2,1,00034012,,2,1,2,2,,,,,,,,,,1,,1,1,2,
HH000121,HH000121-M04,04,Valdez,Maria,,Ramos,04,2,13,1,2,,,1,1,1,1,1,1,,1,1,1,00024012,,,,2,2,,,,,,,,,,,,,,,
HH000122,HH000122-M01,01,Garcia,Nathan,,Aquino,01,1,54,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,1,,1,8,6,50,2,2,3,,11,,,,,2,
HH000122,HH000122-M02,02,Garcia,Kristine,,Valdez,02,2,58,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,8,7,56,2,2,3,,99,,,,,2,
HH000122,HH000122-M03,03,Garcia,Catherine,,Cruz,04,2,15,1,2,,,1,1,1,1,1,1,7,1,2,2,,06,2,1,2,1,2,8,0,0,1,2,1,3,28,,,,,2,
HH000122,HH000122-M04,04,Garcia,Jasmine,,Bautista,04,2,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000122,HH000122-M05,05,Garcia,Maria,,Santos,12,2,91,6,2,,2,1,1,1,1,1,4,7,1,3,,,,2,2,2,2,,,,,,,,,,2,07,,,2,
HH000123,HH000123-M01,01,Garcia,Liza,,Ramos,01,2,29,2,2,,,1,1,1,2,1,1,7,1,6,,,,2,2,1,,1,9,7,63,2,2,1,4,12,,,,,2,
HH000124,HH000124-M01,01,Aguilar,Joshua,,Torres,01,1,34,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,2,9,5,47,2,2,1,0,,,,,,2,
HH000124,HH000124-M02,02,Aguilar,Karen,,Fernandez,02,2,38,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,2,10,5,51,2,2,1,1,12,,,,,2,
HH000124,HH000124-M03,03,Aguilar,Joan,,Mendoza,04,2,17,1,2,,,1,1,1,1,1,1,7,1,3,2,,04,2,2,2,3,,,,,,,,,,2,09,,,2,
HH000124,HH000124-M04,04,Aguilar,Maria,,Garcia,04,2,5,1,,,,1,1,1,1,1,1,,2,0,1,00002000,,,,2,2,,,,,,,,,,,,,,,
HH000124,HH000124-M05,05,Aguilar,Gabriel,,Soriano,15,1,32,6,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,1,8,4,34,1,1,3,,28,,,,,1,1
HH000124,HH000124-M06,06,Aguilar,Patricia,,Aquino,12,2,71,2,2,,1,1,2,1,1,1,1,7,1,6,,,,2,2,2,2,,,,,,,,,,2,07,,,2,
HH000125,HH000125-M01,01,Flores,Joan,,Reyes,01,2,50,4,1,2,,1,1,1,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,2,04,2,2,2,
HH000125,HH000125-M02,02,Flores,Michelle,,Mendoza,04,2,23,1,2,,,1,1,1,1,1,1,7,1,6,2,,10,2,2,1,,3,8,5,40,2,2,6,,,,,,,2,
HH000125,HH000125-M03,03,Flores,Lance,,Garcia,03,1,23,1,2,,,1,1,1,1,1,1,7,1,2,2,,10,2,2,1,,1,4,5,22,2,2,5,4,31,,,,,2,
HH000125,HH000125-M04,04,Flores,Juan,Jr.,Cruz,03,1,5,1,,,,1,1,1,1,1,1,,1,1,1,00002000,,,,2,2,,,,,,,,,,,,,,,
HH000125,HH000125-M05,05,Flores,Andrea,,Torres,04,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000126,HH000126-M01,01,Salazar,Daniel,,Castillo,01,1,37,2,2,,,1,1,1,1,1,1,7,1,6,,,,1,2,2,2,,,,,,,,,,2,08,,,2,
HH000126,HH000126-M02,02,Salazar,Grace,,Lopez,02,2,34,2,2,,,1,1,1,1,1,1,7,1,4,,,,2,2,2,2,,,,,,,,,,2,99,,,1,1
HH000126,HH000126-M03,03,Salazar,Maria,,Rivera,04,2,8,1,,,,1,3,1,1,1,1,,1,1,1,00010013,,,,2,2,,,,,,,,,,,,,,,
HH000126,HH000126-M04,04,Salazar,Christian,,Navarro,15,1,30,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,1,1,,3,7,5,35,1,2,1,4,22,,,,,2,
HH000127,HH000127-M01,01,Reyes,Jerome,,Diaz,01,1,55,2,2,,,1,2,1,1,1,1,7,1,2,,,,2,2,2,1,2,8,0,0,2,2,1,4,20,,,,,2,
HH000127,HH000127-M02,02,Reyes,Ella,,Fernandez,02,2,59,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,8,3,24,1,1,1,7,22,,,,,2,
HH000127,HH000127-M03,03,Reyes,Lance,Jr.,Aquino,03,1,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
HH000127,HH000127-M04,04,Reyes,Andrea,,Mendoza,04,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000127,HH000127-M05,05,Reyes,Jasmine,,Domingo,12,2,84,5,2,,1,1,1,2,2,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000128,HH000128-M01,01,Fernandez,John,,Ramos,01,1,43,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,1,8,5,39,1,1,5,3,31,,,,,2,
HH000128,HH000128-M02,02,Fernandez,Leah,,Aguilar,02,2,41,2,2,,,1,1,1,1,1,1,7,1,3,,,,1,2,1,,2,8,6,49,2,2,3,,11,,,,,2,
HH000128,HH000128-M03,03,Fernandez,Sophia,,Rivera,04,2,17,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,2,3,,,,,,,,,,2,06,,,2,
HH000128,HH000128-M04,04,Fernandez,Ella,,Mendoza,04,2,10,2,2,,,1,1,1,2,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000128,HH000128-M05,05,Fernandez,Joshua,,Lopez,03,1,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000129,HH000129-M01,01,Navarro,Mae,,Soriano,01,2,30,1,1,1,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,8,6,46,2,2,3,,,,,,,2,
HH000129,HH000129-M02,02,Navarro,Ana,,Aquino,04,2,12,1,2,,,1,1,1,1,1,1,,1,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000129,HH000129-M03,03,Navarro,John,,Domingo,03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000130,HH000130-M01,01,Reyes,Rafael,,Bautista,01,1,67,2,2,,2,1,1,1,1,3,1,7,1,1,,,,2,2,1,,2,6,6,37,1,1,2,4,99,,,,,2,
HH000130,HH000130-M02,02,Reyes,Grace,,Reyes,02,2,65,2,2,,1,1,1,1,1,3,1,7,1,2,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000131,HH000131-M01,01,Ramos,Patricia,,Reyes,01,2,49,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,1,,3,7,6,41,2,2,1,3,,,,,,2,
HH000131,HH000131-M02,02,Ramos,Liza,,Aguilar,04,2,21,1,2,,,1,1,1,1,3,1,7,2,5,2,,05,2,2,1,,2,7,5,37,1,2,3,,20,,,,,2,
HH000132,HH000132-M01,01,Salazar,Gabriel,,Diaz,01,1,40,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,1,8,5,42,1,1,0,4,,,,,,2,
